 Start         line 2 cols 1-5 is T_Identifier
 -         line 2 cols 7-7 is -
 >         line 2 cols 8-8 is >
 Program         line 2 cols 8-14 is T_Identifier
 Program         line 3 cols 1-7 is T_Identifier
 -         line 3 cols 9-9 is -
 >         line 3 cols 10-10 is >
 Decl         line 3 cols 11-14 is T_Identifier
 Program         line 3 cols 16-22 is T_Identifier
 Program         line 4 cols 1-7 is T_Identifier
 -         line 4 cols 9-9 is -
 >         line 4 cols 10-10 is >
 Decl         line 4 cols 10-13 is T_Identifier
 Decl         line 5 cols 1-4 is T_Identifier
 -         line 5 cols 6-6 is -
 >         line 5 cols 7-7 is >
 Type         line 5 cols 8-11 is T_Identifier
 ident         line 5 cols 14-18 is T_Identifier
 ;         line 5 cols 21-21 is ;
 Decl         line 6 cols 1-4 is T_Identifier
 -         line 6 cols 6-6 is -
 >         line 6 cols 7-7 is >
 Type         line 6 cols 8-11 is T_Identifier
 ident         line 6 cols 14-18 is T_Identifier
 (         line 6 cols 21-21 is (
 Formals         line 6 cols 23-29 is T_Identifier
 )         line 6 cols 32-32 is )
 StmtBlock         line 6 cols 33-41 is T_Identifier
 Decl         line 7 cols 1-4 is T_Identifier
 -         line 7 cols 6-6 is -
 >         line 7 cols 7-7 is >
 void         line 7 cols 7-11 is T_void
 ident         line 7 cols 13-17 is T_Identifier
 (         line 7 cols 20-20 is (
 Formals         line 7 cols 22-28 is T_Identifier
 )         line 7 cols 31-31 is )
 StmtBlock         line 7 cols 32-40 is T_Identifier
 Decl         line 8 cols 1-4 is T_Identifier
 -         line 8 cols 6-6 is -
 >         line 8 cols 7-7 is >
 static         line 8 cols 7-13 is T_static
 CnsTp         line 8 cols 15-19 is T_Identifier
 ident         line 8 cols 22-26 is T_Identifier
 ;         line 8 cols 29-29 is ;
 Decl         line 9 cols 1-4 is T_Identifier
 -         line 9 cols 6-6 is -
 >         line 9 cols 7-7 is >
 class         line 9 cols 7-12 is T_class
 ident         line 9 cols 14-18 is T_Identifier
 Heritage         line 9 cols 21-28 is T_Identifier
 HeritageI         line 9 cols 31-39 is T_Identifier
 {         line 9 cols 42-42 is {
 FieldP         line 9 cols 44-49 is T_Identifier
 }         line 9 cols 52-52 is }
 Decl         line 10 cols 1-4 is T_Identifier
 -         line 10 cols 6-6 is -
 >         line 10 cols 7-7 is >
 interface         line 10 cols 7-16 is T_interface
 ident         line 10 cols 18-22 is T_Identifier
 {         line 10 cols 25-25 is {
 Proto         line 10 cols 27-31 is T_Identifier
 }         line 10 cols 34-34 is }
 Type         line 11 cols 1-4 is T_Identifier
 -         line 11 cols 6-6 is -
 >         line 11 cols 7-7 is >
 CnsTp         line 11 cols 7-11 is T_Identifier
 Type         line 12 cols 1-4 is T_Identifier
 -         line 12 cols 6-6 is -
 >         line 12 cols 7-7 is >
 ident         line 12 cols 7-11 is T_Identifier
 Type         line 13 cols 1-4 is T_Identifier
 -         line 13 cols 6-6 is -
 >         line 13 cols 7-7 is >
 Type         line 13 cols 8-11 is T_Identifier
 []         line 13 cols 14-15 is []
 Formals         line 14 cols 1-7 is T_Identifier
 -         line 14 cols 9-9 is -
 >         line 14 cols 10-10 is >
 Type         line 14 cols 11-14 is T_Identifier
 ident         line 14 cols 17-21 is T_Identifier
 ,         line 14 cols 24-24 is ,
 Formals         line 14 cols 25-31 is T_Identifier
 Formals         line 15 cols 1-7 is T_Identifier
 -         line 15 cols 9-9 is -
 >         line 15 cols 10-10 is >
 Type         line 15 cols 11-14 is T_Identifier
 ident         line 15 cols 16-20 is T_Identifier
 StmtBlock         line 16 cols 1-9 is T_Identifier
 -         line 16 cols 11-11 is -
 >         line 16 cols 12-12 is >
 {         line 16 cols 13-13 is {
 COMBINACION         line 16 cols 15-25 is T_Identifier
 }         line 16 cols 28-28 is }
 COMBINACION         line 17 cols 1-11 is T_Identifier
 -         line 17 cols 13-13 is -
 >         line 17 cols 14-14 is >
 Type         line 17 cols 15-18 is T_Identifier
 ident         line 17 cols 21-25 is T_Identifier
 ;         line 17 cols 28-28 is ;
 COMBINACION         line 17 cols 29-39 is T_Identifier
 COMBINACION         line 18 cols 1-11 is T_Identifier
 -         line 18 cols 13-13 is -
 >         line 18 cols 14-14 is >
 COMBINACION         line 19 cols 1-11 is T_Identifier
 -         line 19 cols 13-13 is -
 >         line 19 cols 14-14 is >
 static         line 19 cols 14-20 is T_static
 CnsTp         line 19 cols 22-26 is T_Identifier
 ident         line 19 cols 29-33 is T_Identifier
 ;         line 19 cols 36-36 is ;
 COMBINACION         line 19 cols 37-47 is T_Identifier
 COMBINACION         line 20 cols 1-11 is T_Identifier
 -         line 20 cols 13-13 is -
 >         line 20 cols 14-14 is >
 COMBINACION         line 21 cols 1-11 is T_Identifier
 -         line 21 cols 13-13 is -
 >         line 21 cols 14-14 is >
 Stmt         line 21 cols 15-18 is T_Identifier
 COMBINACION         line 21 cols 20-30 is T_Identifier
 COMBINACION         line 22 cols 1-11 is T_Identifier
 -         line 22 cols 13-13 is -
 >         line 22 cols 14-14 is >
 CnsTp         line 23 cols 1-5 is T_Identifier
 -         line 23 cols 7-7 is -
 >         line 23 cols 8-8 is >
 int         line 23 cols 8-11 is T_int
 CnsTp         line 24 cols 1-5 is T_Identifier
 -         line 24 cols 7-7 is -
 >         line 24 cols 8-8 is >
 double         line 24 cols 8-14 is T_double
 CnsTp         line 25 cols 1-5 is T_Identifier
 -         line 25 cols 7-7 is -
 >         line 25 cols 8-8 is >
 boolean         line 25 cols 8-15 is T_boolean
 CnsTp         line 26 cols 1-5 is T_Identifier
 -         line 26 cols 7-7 is -
 >         line 26 cols 8-8 is >
 string         line 26 cols 8-14 is T_string
 Heritage         line 27 cols 1-8 is T_Identifier
 -         line 27 cols 10-10 is -
 >         line 27 cols 11-11 is >
 extends         line 27 cols 11-18 is T_extends
 ident         line 27 cols 19-23 is T_Identifier
 Heritage         line 28 cols 1-8 is T_Identifier
 -         line 28 cols 10-10 is -
 >         line 28 cols 11-11 is >
 HeritageI         line 29 cols 1-9 is T_Identifier
 -         line 29 cols 11-11 is -
 >         line 29 cols 12-12 is >
 implements         line 29 cols 12-22 is T_implements
 ident         line 29 cols 24-28 is T_Identifier
 HeritageD         line 29 cols 30-38 is T_Identifier
 HeritageI         line 30 cols 1-9 is T_Identifier
 -         line 30 cols 11-11 is -
 >         line 30 cols 12-12 is >
 HeritageD         line 31 cols 1-9 is T_Identifier
 -         line 31 cols 11-11 is -
 >         line 31 cols 12-12 is >
 ,         line 31 cols 13-13 is ,
 ident         line 31 cols 15-19 is T_Identifier
 HeritageD         line 31 cols 21-29 is T_Identifier
 HeritageD         line 32 cols 1-9 is T_Identifier
 -         line 32 cols 11-11 is -
 >         line 32 cols 12-12 is >
 FieldP         line 33 cols 1-6 is T_Identifier
 -         line 33 cols 8-8 is -
 >         line 33 cols 9-9 is >
 Field         line 33 cols 10-14 is T_Identifier
 FieldP         line 33 cols 16-21 is T_Identifier
 FieldP         line 34 cols 1-6 is T_Identifier
 -         line 34 cols 8-8 is -
 >         line 34 cols 9-9 is >
 Field         line 35 cols 1-5 is T_Identifier
 -         line 35 cols 7-7 is -
 >         line 35 cols 8-8 is >
 Type         line 35 cols 9-12 is T_Identifier
 ident         line 35 cols 15-19 is T_Identifier
 ;         line 35 cols 22-22 is ;
 Field         line 36 cols 1-5 is T_Identifier
 -         line 36 cols 7-7 is -
 >         line 36 cols 8-8 is >
 Type         line 36 cols 9-12 is T_Identifier
 ident         line 36 cols 15-19 is T_Identifier
 (         line 36 cols 22-22 is (
 Formals         line 36 cols 24-30 is T_Identifier
 )         line 36 cols 33-33 is )
 StmtBlock         line 36 cols 34-42 is T_Identifier
 Field         line 37 cols 1-5 is T_Identifier
 -         line 37 cols 7-7 is -
 >         line 37 cols 8-8 is >
 void         line 37 cols 8-12 is T_void
 ident         line 37 cols 14-18 is T_Identifier
 (         line 37 cols 21-21 is (
 Formals         line 37 cols 23-29 is T_Identifier
 )         line 37 cols 32-32 is )
 StmtBlock         line 37 cols 33-41 is T_Identifier
 Field         line 38 cols 1-5 is T_Identifier
 -         line 38 cols 7-7 is -
 >         line 38 cols 8-8 is >
 static         line 38 cols 8-14 is T_static
 CnsTp         line 38 cols 16-20 is T_Identifier
 ident         line 38 cols 23-27 is T_Identifier
 ;         line 38 cols 30-30 is ;
 Proto         line 39 cols 1-5 is T_Identifier
 -         line 39 cols 7-7 is -
 >         line 39 cols 8-8 is >
 Prototype         line 39 cols 9-17 is T_Identifier
 Proto         line 39 cols 19-23 is T_Identifier
 Proto         line 40 cols 1-5 is T_Identifier
 -         line 40 cols 7-7 is -
