 interface         line 1 cols 1-10 is T_interface
 Derly         line 1 cols 12-16 is T_Identifier
 {         line 1 cols 19-19 is {
 void         line 2 cols 9-13 is T_void
 jose         line 2 cols 15-18 is T_Identifier
 (         line 2 cols 21-21 is (
 double         line 2 cols 22-28 is T_double
 jose         line 2 cols 30-33 is T_Identifier
 )         line 2 cols 36-36 is )
 ;         line 2 cols 38-38 is ;
 void         line 3 cols 9-13 is T_void
 jose         line 3 cols 15-18 is T_Identifier
 (         line 3 cols 21-21 is (
 double         line 3 cols 21-27 is T_double
 Zerafina         line 3 cols 28-35 is T_Identifier
 )         line 3 cols 37-37 is )
 ;         line 3 cols 39-39 is ;
 Type         line 4 cols 10-13 is T_Identifier
 nuevo         line 4 cols 16-20 is T_Identifier
 (         line 4 cols 23-23 is (
 string         line 4 cols 24-30 is T_string
 Zerafina         line 4 cols 31-38 is T_Identifier
 ,         line 4 cols 40-40 is ,
 double         line 4 cols 41-47 is T_double
 jose         line 4 cols 48-51 is T_Identifier
 )         line 4 cols 53-53 is )
 ;         line 4 cols 54-54 is ;
 }         line 5 cols 2-2 is }
 static         line 6 cols 1-7 is T_static
 boolean         line 6 cols 8-15 is T_boolean
 jose         line 6 cols 17-20 is T_Identifier
 ;         line 6 cols 23-23 is ;
 jose         line 7 cols 2-5 is T_Identifier
 inenso         line 7 cols 7-12 is T_Identifier
 ;         line 7 cols 14-14 is ;
 string         line 8 cols 1-7 is T_string
 iunable         line 8 cols 9-15 is T_Identifier
 ;         line 8 cols 18-18 is ;
 int         line 9 cols 1-4 is T_int
 []         line 9 cols 5-6 is []
 jose         line 9 cols 8-11 is T_Identifier
 ;         line 9 cols 14-14 is ;
 boolean         line 10 cols 1-8 is T_boolean
 i         line 10 cols 10-10 is T_Identifier
 ;         line 10 cols 13-13 is ;
 static         line 11 cols 1-7 is T_static
 int         line 11 cols 8-11 is T_int
 zerafina         line 11 cols 12-19 is T_Identifier
 ;         line 11 cols 21-21 is ;
 static         line 12 cols 1-7 is T_static
 double         line 12 cols 8-14 is T_double
 Zerafina         line 12 cols 15-22 is T_Identifier
 ;         line 12 cols 24-24 is ;
 static         line 13 cols 1-7 is T_static
 double         line 13 cols 8-14 is T_double
 Zerafina         line 13 cols 16-23 is T_Identifier
 ;         line 13 cols 26-26 is ;
 class         line 14 cols 1-6 is T_class
 holaMundo         line 14 cols 8-16 is T_Identifier
 extends         line 14 cols 18-25 is T_extends
 lol         line 14 cols 27-29 is T_Identifier
 implements         line 14 cols 31-41 is T_implements
 heredar         line 14 cols 43-49 is T_Identifier
 ,         line 14 cols 52-52 is ,
 compresion         line 14 cols 53-62 is T_Identifier
 {         line 15 cols 2-2 is {
 int         line 17 cols 9-12 is T_int
 f1         line 17 cols 13-14 is T_Identifier
 (         line 17 cols 16-16 is (
 int         line 17 cols 16-19 is T_int
 []         line 17 cols 20-21 is []
 a         line 17 cols 22-22 is T_Identifier
 ,         line 17 cols 24-24 is ,
 int         line 17 cols 25-28 is T_int
 b         line 17 cols 29-29 is T_Identifier
 ,         line 17 cols 31-31 is ,
 int         line 17 cols 32-35 is T_int
 c         line 17 cols 36-36 is T_Identifier
 )         line 17 cols 38-38 is )
 {         line 18 cols 10-10 is {
 }         line 20 cols 10-10 is }
 }         line 21 cols 2-2 is }
