 carro         line 1 cols 1-5 is T_Identifier
 []         line 1 cols 7-8 is []
 auto         line 1 cols 9-12 is T_Identifier
 ;         line 1 cols 14-14 is ;
 int         line 2 cols 1-4 is T_int
 a         line 2 cols 5-5 is T_Identifier
 ;         line 2 cols 7-7 is ;
 int         line 3 cols 1-4 is T_int
 b         line 3 cols 5-5 is T_Identifier
 ;         line 3 cols 7-7 is ;
 int         line 4 cols 1-4 is T_int
 Metodo         line 4 cols 5-10 is T_Identifier
 ()         line 4 cols 12-13 is ()
 while         line 4 cols 14-19 is T_while
 (         line 4 cols 20-20 is (
 a         line 4 cols 21-21 is T_Identifier
 +         line 4 cols 24-24 is +
 b         line 4 cols 25-25 is T_Identifier
 )         line 4 cols 27-27 is )
 hola         line 4 cols 29-32 is T_Identifier
 ;         line 4 cols 35-35 is ;
 boolean         line 6 cols 1-8 is T_boolean
 flag1         line 6 cols 9-13 is T_Identifier
 ;         line 6 cols 15-15 is ;
 boolean         line 7 cols 1-8 is T_boolean
 flag2         line 7 cols 9-13 is T_Identifier
 ;         line 7 cols 15-15 is ;
 boolean         line 8 cols 1-8 is T_boolean
 flag3         line 8 cols 9-13 is T_Identifier
 ;         line 8 cols 15-15 is ;
 void         line 10 cols 1-5 is T_void
 Metodo2         line 10 cols 7-13 is T_Identifier
 (         line 10 cols 16-16 is (
 boolean         line 10 cols 16-23 is T_boolean
 numero         line 10 cols 24-29 is T_Identifier
 ,         line 10 cols 31-31 is ,
 string         line 10 cols 32-38 is T_string
 lol         line 10 cols 40-42 is T_Identifier
 ,         line 10 cols 45-45 is ,
 string         line 10 cols 46-52 is T_string
 xd         line 10 cols 53-54 is T_Identifier
 ,         line 10 cols 56-56 is ,
 int         line 10 cols 57-60 is T_int
 flag         line 10 cols 61-64 is T_Identifier
 )         line 10 cols 66-66 is )
 if         line 10 cols 67-69 is T_if
 (         line 10 cols 71-71 is (
 flag3         line 10 cols 73-77 is T_Identifier
 &&         line 10 cols 80-81 is &&
 true         line 10 cols 83-87 is T_Boolean
 ==         line 10 cols 89-90 is ==
 false         line 10 cols 92-97 is T_Boolean
 %         line 10 cols 99-99 is %
 !         line 10 cols 101-101 is !
 flag4         line 10 cols 102-106 is T_Identifier
 &&         line 10 cols 109-110 is &&
 -         line 10 cols 112-112 is -
 true         line 10 cols 113-117 is T_Boolean
 %         line 10 cols 119-119 is %
 false         line 10 cols 121-126 is T_Boolean
 )         line 10 cols 128-128 is )
 a         line 10 cols 130-130 is T_Identifier
 +         line 10 cols 133-133 is +
 b         line 10 cols 134-134 is T_Identifier
 ;         line 10 cols 136-136 is ;
 boolean         line 12 cols 1-8 is T_boolean
 flag4         line 12 cols 9-13 is T_Identifier
 ;         line 12 cols 15-15 is ;
 void         line 14 cols 1-5 is T_void
 Metodo3         line 14 cols 7-13 is T_Identifier
 (         line 14 cols 16-16 is (
 int         line 14 cols 16-19 is T_int
 flag         line 14 cols 20-23 is T_Identifier
 )         line 14 cols 25-25 is )
 while         line 14 cols 26-31 is T_while
 (         line 14 cols 32-32 is (
 a         line 14 cols 33-33 is T_Identifier
 +         line 14 cols 36-36 is +
 b         line 14 cols 37-37 is T_Identifier
 )         line 14 cols 39-39 is )
 if         line 14 cols 40-42 is T_if
 (         line 14 cols 44-44 is (
 flag3         line 14 cols 46-50 is T_Identifier
 &&         line 14 cols 53-54 is &&
 true         line 14 cols 56-60 is T_Boolean
 ==         line 14 cols 62-63 is ==
 false         line 14 cols 65-70 is T_Boolean
 %         line 14 cols 72-72 is %
 !         line 14 cols 74-74 is !
 flag4         line 14 cols 75-79 is T_Identifier
 &&         line 14 cols 82-83 is &&
 -         line 14 cols 85-85 is -
 true         line 14 cols 86-90 is T_Boolean
 %         line 14 cols 92-92 is %
 false         line 14 cols 94-99 is T_Boolean
 )         line 14 cols 101-101 is )
 ;         line 14 cols 102-102 is ;
